id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
149300,2014,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Nigeria Watch IBD003619,2014-08-21,Boko Haram Attacks, Borno""",Nigeria Watch IBD003619,8/21/14,"Boko Haram Attacks, Borno",,1,Pulka town,Borno state,Gwoza lga,11.226071,13.783778,145828,Nigeria,475,Africa,1,1,8/21/14,8/21/14,0,0,3,0,3,3,3
151973,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-08-25,Afghan army kills 18 militants during operations""",Xinhua News Agency,8/25/14,Afghan army kills 18 militants during operations,Defense Ministry,4,Farah province,Farah province,,32.5,62.5,176886,Afghanistan,700,Asia,2,2,8/24/14,8/25/14,0,6,0,0,6,6,6
150079,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,4,"""Agence France Presse,2014-08-21,Hamas says three senior commanders killed in Gaza"";""Agence France Presse,2014-08-21,Hamas says 3 senior commanders killed in Gaza"";""Agence France Presse,2014-08-21,Israeli strikes kill 15 on day 45 of Gaza war"";""Agence France Presse,2014-08-21,Israeli strikes kill 24 on day 45 of Gaza war""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse,2014-08-21;2014-08-21;2014-08-21;2014-08-21,Hamas says three senior commanders killed in Gaza;Hamas says 3 senior commanders killed in Gaza;Israeli strikes kill 15 on day 45 of Gaza war;Israeli strikes kill 24 on day 45 of Gaza war,"Hamas, Palestinian medical sources",1,Rafah town,Gaza Strip,Rafah,31.287004,34.259525,174669,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,3,0,7,7,10,10
150081,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,1,"""Agence France Presse,2014-08-21,Israeli strikes kill 15 on day 45 of Gaza war""",Agence France Presse,8/21/14,Israeli strikes kill 15 on day 45 of Gaza war,Palestinian medical sources,1,Beit Lahiya town,Gaza Strip,Gaza ash Shamaliyah,31.546397,34.495142,175389,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,1,1,2,2,2
150082,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,2,"""Agence France Presse,2014-08-21,Israeli strikes kill 15 on day 45 of Gaza war"";""Agence France Presse,2014-08-21,Israeli air strikes kill senior Hamas commanders in Gaza""",Agence France Presse;Agence France Presse,2014-08-21;2014-08-21,Israeli strikes kill 15 on day 45 of Gaza war;Israeli air strikes kill senior Hamas commanders in Gaza,Palestinian medical sources,1,Gaza City,Gaza Strip,Gaza,31.516667,34.45,175389,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,3,2,5,5,5
150083,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,1,"""Agence France Presse,2014-08-21,Israeli air strikes kill senior Hamas commanders in Gaza""",Agence France Presse,8/21/14,Israeli air strikes kill senior Hamas commanders in Gaza,Palestinian medical sources,1,Gaza City,Gaza Strip,Gaza,31.516667,34.45,175389,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,0,4,4,4,4
150178,2014,1,2,11191,Christians (CAR) - Muslims (CAR),11801,Christians (CAR) - Muslims (CAR),3555,,Christians (CAR),3556,,Muslims (CAR),4,"""Agence France Presse,2014-08-22,Central Africa unveils new government after deadly clashes"";""BBC Monitoring Africa,2014-08-23,Eight people killed in southeastern town clashes between CAR armed groups"";""S/2014/762,2014-10-29,S/2014/762"";""S/2014/928,2014-12-22,Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council""",Agence France Presse;BBC Monitoring Africa;S/2014/762;S/2014/928,2014-08-22;2014-08-23;2014-10-29;2014-12-22,Central Africa unveils new government after deadly clashes;Eight people killed in southeastern town clashes between CAR armed groups;S/2014/762;Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council,UN,1,Boda town,Lobaye province,Boda region,4.316667,17.466667,135755,Central African Republic,482,Africa,1,1,8/21/14,8/21/14,12,0,0,0,12,12,12
150840,2014,1,3,11705,anti-Balaka - Civilians,12379,anti-Balaka - Civilians,4201,,anti-Balaka,1,,Civilians,2,"""S/2014/762,2014-10-29,S/2014/762"";""S/2014/928,2014-12-22,Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council""",S/2014/762;S/2014/928,2014-10-29;2014-12-22,S/2014/762;Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council,,1,Boda town,Lobaye province,Boda region,4.316667,17.466667,135755,Central African Republic,482,Africa,1,1,8/21/14,8/21/14,0,0,1,0,1,1,1
150848,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,1,"""Agence France Presse,2014-08-21,Israeli strikes kill 24 on day 45 of Gaza war""",Agence France Presse,8/21/14,Israeli strikes kill 24 on day 45 of Gaza war,Palestinian medical sources,1,Beit Lahiya town,Gaza Strip,Gaza ash Shamaliyah,31.546397,34.495142,175389,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,3,2,5,5,5
150849,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,2,"""Agence France Presse,2014-08-21,Israeli strikes kill 24 on day 45 of Gaza war"";""BBC Monitoring Middle East,2014-08-22,Four Palestinians killed by Israeli airstrikes while burying relatives""",Agence France Presse;BBC Monitoring Middle East,2014-08-21;2014-08-22,Israeli strikes kill 24 on day 45 of Gaza war;Four Palestinians killed by Israeli airstrikes while burying relatives,Palestinian medical sources,1,Nuseirat refugee camp,Gaza Strip,Deir al-Balah,31.447656,34.392875,174669,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,0,2,2,2,2
150850,2014,1,1,234,Israel:Palestine,477,Government of Israel - Hamas,121,666,Government of Israel,209,,Hamas,1,"""BBC Monitoring Middle East,2014-08-22,Israeli air strikes kill 38 across Gaza despite Palestinian peace offer""",BBC Monitoring Middle East,8/22/14,Israeli air strikes kill 38 across Gaza despite Palestinian peace offer,Palestinian medical sources,4,Gaza Strip,Gaza Strip,,31.425074,34.373398,174669,Israel,666,Middle East,1,1,8/21/14,8/21/14,0,0,0,11,11,11,11
151907,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-08-21,Two army officers killed, three policemen injured in Afghan west, south""",BBC Monitoring South Asia,8/21/14,"Two army officers killed, three policemen injured in Afghan west, south",Military,1,Hirat town,Hirat province,Hirat district,34.349991,62.200001,179045,Afghanistan,700,Asia,1,1,8/21/14,8/21/14,2,0,0,0,2,2,2
151940,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""BBC Monitoring South Asia,2014-08-23,Mine explosions kill several individuals in Afghan east, south""",BBC Monitoring South Asia,8/23/14,"Mine explosions kill several individuals in Afghan east, south",Military,1,Syahzamin village,Kandahar province,Shah Wali Kot district,32.2157,65.95509,176172,Afghanistan,700,Asia,1,2,8/21/14,8/23/14,0,0,1,0,1,1,1
151915,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,2,"""Pajhwok Afghan News,2014-08-21,23 rebels killed, police officer wounded"";""BBC Monitoring South Asia,2014-08-22,Twelve Taleban said killed in clash in Afghan south""",Pajhwok Afghan News;BBC Monitoring South Asia,2014-08-21;2014-08-22,"23 rebels killed, police officer wounded;Twelve Taleban said killed in clash in Afghan south",Police,3,Tarnak Wa Jaldak district,Zabul province,Tarnak Wa Jaldak district,31.908849,66.520153,175454,Afghanistan,700,Asia,1,1,8/21/14,8/21/14,0,12,0,0,12,12,12
